timestamp,open,high,low,close,volume
5/26/2024,3749.23,3882.82,3731.03,3823.83,57883.65812
5/25/2024,3726.87,3777.78,3707.41,3749.06,33301.97878
5/24/2024,3780.42,3827.99,3627.53,3726.89,112184.8378
5/23/2024,3736.02,3947,3521.24,3780.83,309961.2531
5/22/2024,3789.41,3813.25,3653.11,3735.99,152993.4583
5/21/2024,3661.51,3841.24,3625.58,3789.37,253191.4804
5/20/2024,3070.83,3695,3048.58,3661.52,280881.2056
5/19/2024,3123.76,3137.64,3053.74,3070.9,36279.72976
5/18/2024,3093.2,3148,3085.07,3123.99,35887.59341
5/17/2024,2944.86,3122.08,2932.68,3093.39,80378.06214
5/16/2024,3033.23,3041.71,2923.73,2945.11,79847.19016
5/15/2024,2880.39,3041.53,2862.36,3033.2,102425.7552
5/14/2024,2950.09,2988,2858.76,2880.4,84843.49382
5/13/2024,2927.72,2994.74,2864.35,2950.21,81949.54699
5/12/2024,2911.77,2954.16,2900.59,2927.75,23851.53354
5/11/2024,2909.38,2943.64,2885.8,2911.75,26841.15469
5/10/2024,3035.92,3053.53,2878.38,2909.43,79016.14737
5/9/2024,2972.81,3058.43,2949.52,3035.92,56610.30198
5/8/2024,3006.09,3038.17,2937.09,2972.82,52553.55511
5/7/2024,3062.69,3129.9,3000,3005.78,62108.80447
5/6/2024,3136.77,3221.41,3045.59,3062.69,79596.6595
5/5/2024,3117.52,3171.64,3073.7,3136.95,38526.42778
5/4/2024,3104.11,3167.85,3093.87,3117.41,37445.21056
5/3/2024,2986.12,3128.04,2958.55,3103.27,82328.62907
5/2/2024,2968.18,3016.07,2890.28,2986.32,74253.44636
5/1/2024,3011.24,3020.26,2814.12,2968.12,148775.7393
4/30/2024,3215.89,3249.66,2916.34,3011.4,122376.4789
4/29/2024,3262.99,3287.15,3114.56,3215.53,85704.21546
4/28/2024,3253.04,3356.31,3239.72,3262.6,66716.10732
4/27/2024,3130.04,3281.92,3067.27,3253.04,65631.202
4/26/2024,3155.27,3166.66,3101.01,3130,69330.93638
4/25/2024,3139.27,3191.94,3071.79,3155.36,95350.39969
4/24/2024,3219.42,3293.4,3102.62,3138.91,88784.32655
4/23/2024,3201.67,3266.4,3153.41,3219.49,69940.41365
4/22/2024,3148.06,3237.41,3129.68,3201.46,70530.52584
4/21/2024,3156.62,3198.46,3117.46,3148.1,34111.8484
4/20/2024,3057.9,3172.3,3019.11,3157.01,42703.49659
4/19/2024,3065.8,3128.99,2865.71,3057.93,126465.0625
4/18/2024,2984.9,3100.8,2952.53,3065.82,91513.42191
